证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
603650,彤程新材,橡胶助剂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
603658,安图生物,体外诊断,医药制造业,制造业,cninfo_stock_industry_change,20260423
603659,璞泰来,电池化学品,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603688,石英股份,非金属材料Ⅲ,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
603699,纽威股份,金属制品,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
603707,健友股份,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
603728,鸣志电器,电机,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
603737,三棵树,涂料,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
603766,隆鑫通用,摩托车,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
603786,科博达,汽车电子电气系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
603799,华友钴业,钴,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
603806,福斯特,光伏辅材,橡胶和塑料制品业,制造业,cninfo_stock_industry_change,20260423
603816,顾家家居,成品家居,家具制造业,制造业,cninfo_stock_industry_change,20260423
603833,欧派家居,定制家居,家具制造业,制造业,cninfo_stock_industry_change,20260423
603858,步长制药,中药,医药制造业,制造业,cninfo_stock_industry_change,20260423
603885,吉祥航空,航空运输,航空运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
603893,瑞芯微,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603899,晨光股份,文化用品,文教、工美、体育和娱乐用品制造业,制造业,cninfo_stock_industry_change,20260423
603920,世运电路,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603927,中科软,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
603939,益丰药房,线下药店,零售业,批发和零售业,cninfo_stock_industry_change,20260423
603979,金诚信,铜,开采专业及辅助性活动,采矿业,cninfo_stock_industry_change,20260423
603986,兆易创新,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
603993,洛阳钼业,铜,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
605117,德业股份,逆变器,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
605358,立昂微,半导体材料,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
605499,东鹏饮料,软饮料,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
605589,圣泉集团,合成树脂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
688002,睿创微纳,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688008,澜起科技,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688009,中国通号,铁路设备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
688012,中微公司,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688017,绿的谐波,机器人,通用设备制造业,制造业,cninfo_stock_industry_change,20260423
688018,乐鑫科技,数字芯片设计,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688019,安集科技,电子化学品Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688027,国盾量子,通信终端及配件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688036,传音控股,品牌消费电子,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688037,芯源微,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688041,海光信息,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688047,龙芯中科,数字芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688052,纳芯微,模拟芯片设计,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688065,凯赛生物,其他化学制品,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
688082,盛美上海,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688099,晶晨股份,数字芯片设计,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688100,威胜信息,通信终端及配件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688111,金山办公,横向通用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688114,华大智造,医疗设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688120,华海清科,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688122,西部超导,航空装备Ⅲ,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
688126,沪硅产业,半导体材料,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688166,博瑞医药,原料药,医药制造业,制造业,cninfo_stock_industry_change,20260423
688169,石头科技,清洁小家电,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688172,燕东微,分立器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688180,君实生物,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
688183,生益电子,印制电路板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688187,时代电气,轨交设备Ⅲ,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
688188,柏楚电子,其他计算机设备,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688192,迪哲医药,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
688213,思特威,数字芯片设计,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688220,翱捷科技,模拟芯片设计,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688223,晶科能源,光伏电池组件,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688234,天岳先进,半导体材料,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688235,百济神州,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
688248,南网科技,电网自动化设备,专业技术服务业,科学研究和技术服务业,cninfo_stock_industry_change,20260423
688256,寒武纪,数字芯片设计,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688266,泽璟制药,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
688271,联影医疗,医疗设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688278,特宝生物,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
688281,华秦科技,航空装备Ⅲ,其他制造业,制造业,cninfo_stock_industry_change,20260423
688295,中复神鹰,其他化学纤维,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
688297,中无人机,航空装备Ⅲ,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
688301,奕瑞科技,医疗设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688303,大全能源,硅料硅片,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688318,财富趋势,垂直应用软件,软件和信息技术服务业,信息传输、软件和信息技术服务业,cninfo_stock_industry_change,20260423
688322,奥比中光,光学元件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688336,三生国健,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
688347,华虹公司,集成电路制造,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
688349,三一重能,风电整机,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
688361,中科飞测,半导体设备,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
688363,华熙生物,医美耗材,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
688375,国博电子,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
