universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
hs300,10y,ae22c9bdd73e5dc9c448cc8522041850,total_asset_turnover_rate,总资产周转率, 总资产周转率=营业收入(ttm)/总资产,1.702262,0.107919,0.062579,0.368103,0.333914,0.005037,1.173039,0.083301,0.038969,0.414691,0.231701,0.004556,-0.272763,-0.032302,0.540814,-0.604179,0.004796,0.042670,0.000778,0.010639,0.781766,0,0.196742,0.018688,0.383124,-0.178088,0.004796
hs300,10y,e0ae1e8724e2bf933815c1b509ab06b1,total_profit_ttm,利润总额TTM, 计算过去12个月 利润总额 之和,1.031927,0.075829,0.031802,0.294344,0.225095,0.017751,0.932896,0.070301,0.026501,0.343637,0.164869,0.010909,-0.058702,-0.006217,0.279662,-0.447571,0.014330,0.042670,0.010515,0.088046,0.870462,0,-0.041997,-0.004413,0.218833,-0.430102,0.014330
hs300,10y,4e82b87404fb4f0321dc068dfeaa2b67,Kurtosis120,个股收益的120日峰度, 取121个交易日的收盘价数据，计算日收益率，再计算其峰度值,2.129226,0.124802,0.078771,0.312560,0.477630,0.049843,0.541591,0.045631,0.002840,0.349346,0.032877,0.037893,-0.544939,-0.077961,0.601862,-0.995936,0.043868,0.042670,-0.002408,-0.024779,0.830446,0,0.917510,0.069420,0.337979,0.248390,0.043868
hs300,10y,81f03f745a8175841186da17ad4a1558,sharpe_ratio_60,60日夏普比率, （Rp - Rf） / Sigma p 其中，Rp是个股的年化收益率，Rf是无风险利率（在这里设置为0.04），Sigma p是个股的收益波动率（标准差）,0.407097,0.035836,-0.006554,0.332545,-0.024610,0.113026,1.681925,0.107056,0.061752,0.477273,0.317465,0.108255,0.802923,0.062648,0.448629,0.136591,0.110641,0.042670,-0.007460,-0.048838,0.905116,0,-0.575261,-0.084492,0.616260,-0.750821,0.110641
hs300,10y,3c7c78971513f98d863acd289d2cbe58,long_debt_to_asset_ratio,长期借款与资产总计之比, 长期借款与资产总计之比=长期借款/总资产,0.709365,0.056826,0.013577,0.415080,0.081706,0.007110,0.608445,0.050217,0.007238,0.415523,0.051270,0.006219,-0.119779,-0.013067,0.285126,-0.503834,0.006664,0.042670,0.001198,0.014755,0.811056,0,0.020207,0.002065,0.193989,-0.360173,0.006664
hs300,10y,ccf22ae47f5f38e9f78ed616be6ea24b,net_finance_cash_flow_ttm,筹资活动现金流量净额TTM, 计算过去12个月 筹资活动现金流量净额 之和,0.752533,0.059547,0.016187,0.318400,0.113034,0.009677,0.909235,0.068943,0.025198,0.327236,0.175250,0.008872,0.038741,0.003926,0.261294,-0.426743,0.009275,0.042670,-0.005152,-0.077921,0.773515,0,-0.101745,-0.011001,0.318581,-0.603327,0.009275
hs300,10y,826d31af55fadfb1852aa423108882e3,Skewness60,个股收益的60日偏度, 取61个交易日的收盘价数据，计算日收益率，再计算其偏度,0.648013,0.052851,0.009765,0.408054,0.076436,0.072944,0.586708,0.048745,0.005826,0.361060,0.047095,0.068827,-0.079728,-0.008529,0.352006,-0.390659,0.070886,0.042670,-0.010714,-0.116632,0.809406,0,-0.064412,-0.006840,0.348656,-0.377067,0.070886
hs300,10y,a231aa1349e4c161f7a820172d76c776,VOL20,20日平均换手率," 20日换手率的均值,单位为%",0.522630,0.044297,0.001561,0.354672,0.027237,0.028058,0.262499,0.024321,-0.017598,0.607310,-0.059462,0.029506,-0.105244,-0.011399,0.558575,-0.302727,0.028782,0.042670,-0.023637,-0.160981,0.899381,0,-0.154977,-0.017210,0.492363,-0.336954,0.028782
hs300,10y,07c609f26650a00041061dc7869d0270,size,市值因子, 资产规模 = 1.0 * 对数总资产 = 总资产的对数,0.017928,0.001834,-0.039165,0.455271,-0.168549,0.029663,1.301192,0.089720,0.045124,0.352363,0.264145,0.056177,0.937054,0.070538,0.267421,0.240837,0.042920,0.042670,0.009297,0.066661,0.879950,0,-0.558384,-0.080807,0.583275,-0.952730,0.042920
hs300,10y,9326598b35782418f5f62e9006c93dc9,total_operating_revenue_per_share,每股营业总收入, 每股营业总收入,1.033796,0.075931,0.031900,0.317082,0.250004,0.010469,1.188248,0.084080,0.039716,0.447949,0.217637,0.008422,0.107232,0.010557,0.410890,-0.244913,0.009445,0.042670,-0.000456,-0.005758,0.809072,0,-0.214973,-0.024644,0.328698,-0.537714,0.009445
hs300,10y,233ad4cdde7a48777467bddadf467aff,DAVOL20,20日平均换手率与120日平均换手率之比, 20日平均换手率 / 120日平均换手率,0.489985,0.041967,-0.000674,0.432414,0.011172,0.054968,1.000038,0.074076,0.030121,0.425842,0.171176,0.056296,0.307404,0.028019,0.331559,-0.101140,0.055632,0.042670,-0.013926,-0.133212,0.851546,0,-0.332472,-0.040811,0.502997,-0.682165,0.055632
hs300,10y,a8b993bc3ace93a85a3ed15503d4c9b2,debt_to_tangible_equity_ratio,有形净值债务率, 负债合计/有形净值  其中有形净值=股东权益-无形资产净值，无形资产净值= 商誉+无形资产,0.869940,0.066654,0.023003,0.466916,0.143383,0.007025,0.313447,0.028508,-0.013583,0.343431,-0.061899,0.006446,-0.340686,-0.042035,0.462017,-0.720172,0.006736,0.042670,0.001598,0.018659,0.825495,0,0.337329,0.030420,0.274906,-0.084102,0.006736
hs300,10y,ed3315e2a90f4ade7870a3adda56f182,VMACD,成交量指数平滑异同移动平均线," 快的指数移动平均线（EMA12）减去慢的指数移动平均线（EMA26）得到快线DIFF, 由DIFF的M日移动平均得到DEA，由DIFF-DEA的值得到MACD",0.807518,0.062927,0.019428,0.382533,0.127030,0.234543,1.049580,0.076788,0.032723,0.293600,0.209951,0.260861,0.062250,0.006245,0.397822,-0.314660,0.247702,0.042670,-0.009566,-0.102901,0.825083,0,-0.158008,-0.017574,0.481727,-0.536701,0.247702
